Log		avg_mem	avg_stacksize	avg_totalsize	cmd	context_swaps	exitcode	forced_context_switches	fs_input	fs_output	max_mem	page_faults_majors	page_faults_minor	pagesize	rcpu	shmem	signals_rx	socket_messages_rx	socket_messages_tx	stime	unsharedmem	utime	vol_context_switches	wall
Makefile.1379012178.5918		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2-8.pairwise -d 120916 -c 2 -x 8 -s 120916 -l 120916.int.bed"	0	0	52	0	38328	29488	0	14189	4096	30%	0	0	0	0	0.08	0	0.67	221	0:02.51
Makefile.1379012181.7746		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2-9.pairwise -d 120916 -c 2 -x 9 -s 120916 -l 120916.int.bed"	0	0	35	0	38328	29488	0	14193	4096	32%	0	0	0	0	0.07	0	0.60	178	0:02.08
Makefile.1379012183.26850		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2-10.pairwise -d 120916 -c 2 -x 10 -s 120916 -l 120916.int.bed"	0	0	32	0	38328	29488	0	14195	4096	33%	0	0	0	0	0.05	0	0.69	186	0:02.24
Makefile.1379012185.11944		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2-11.pairwise -d 120916 -c 2 -x 11 -s 120916 -l 120916.int.bed"	0	0	34	0	38328	29504	0	14202	4096	30%	0	0	0	0	0.07	0	0.68	184	0:02.50
Makefile.1379012187.8562		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2-12.pairwise -d 120916 -c 2 -x 12 -s 120916 -l 120916.int.bed"	0	0	36	0	38328	29488	0	14199	4096	35%	0	0	0	0	0.07	0	0.56	166	0:01.79
Makefile.1379012189.25206		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2-13.pairwise -d 120916 -c 2 -x 13 -s 120916 -l 120916.int.bed"	0	0	52	0	38328	29504	0	14190	4096	38%	0	0	0	0	0.06	0	0.76	166	0:02.13
Makefile.1379012191.1138		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2-14.pairwise -d 120916 -c 2 -x 14 -s 120916 -l 120916.int.bed"	0	0	50	0	38328	29504	0	14177	4096	33%	0	0	0	0	0.07	0	0.76	180	0:02.51
Makefile.1379012194.7304		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2-15.pairwise -d 120916 -c 2 -x 15 -s 120916 -l 120916.int.bed"	0	0	50	0	38328	29488	0	14191	4096	31%	0	0	0	0	0.06	0	0.73	191	0:02.56
Makefile.1379012197.1164		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2-16.pairwise -d 120916 -c 2 -x 16 -s 120916 -l 120916.int.bed"	0	0	35	0	38328	29488	0	14182	4096	26%	0	0	0	0	0.07	0	0.66	200	0:02.72
Makefile.1379012199.6336		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2-17.pairwise -d 120916 -c 2 -x 17 -s 120916 -l 120916.int.bed"	0	0	50	0	38328	29488	0	14181	4096	40%	0	0	0	0	0.08	0	0.78	169	0:02.12
Makefile.1379012202.24425		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2-18.pairwise -d 120916 -c 2 -x 18 -s 120916 -l 120916.int.bed"	0	0	33	0	38328	29488	0	14202	4096	31%	0	0	0	0	0.06	0	0.71	180	0:02.43
Makefile.1379012204.6013		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2-19.pairwise -d 120916 -c 2 -x 19 -s 120916 -l 120916.int.bed"	0	0	39	0	38328	29488	0	14187	4096	39%	0	0	0	0	0.06	0	0.76	159	0:02.10
Makefile.1379012206.901		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2-20.pairwise -d 120916 -c 2 -x 20 -s 120916 -l 120916.int.bed"	0	0	51	0	38328	29488	0	14194	4096	38%	0	0	0	0	0.08	0	0.75	179	0:02.17
Makefile.1379012208.17142		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2-21.pairwise -d 120916 -c 2 -x 21 -s 120916 -l 120916.int.bed"	0	0	50	0	38328	29488	0	14196	4096	41%	0	0	0	0	0.07	0	0.76	173	0:02.02
Makefile.1379012210.23225		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2-22.pairwise -d 120916 -c 2 -x 22 -s 120916 -l 120916.int.bed"	0	0	51	0	38328	29504	0	14205	4096	40%	0	0	0	0	0.06	0	0.76	177	0:02.03
Makefile.1379012213.15850		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3-1.pairwise -d 120916 -c 3 -x 1 -s 120916 -l 120916.int.bed"	0	0	37	0	38328	29488	0	14203	4096	35%	0	0	0	0	0.06	0	0.70	179	0:02.19
Makefile.1379012215.14931		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3-2.pairwise -d 120916 -c 3 -x 2 -s 120916 -l 120916.int.bed"	0	0	51	0	38328	29472	0	14199	4096	38%	0	0	0	0	0.08	0	0.74	212	0:02.17
Makefile.1379012217.25796		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3-3.pairwise -d 120916 -c 3 -x 3 -s 120916 -l 120916.int.bed"	0	0	39	0	38328	29488	0	14185	4096	35%	0	0	0	0	0.05	0	0.61	229	0:01.88
Makefile.1379012219.13751		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3-4.pairwise -d 120916 -c 3 -x 4 -s 120916 -l 120916.int.bed"	0	0	36	0	38328	29488	0	14198	4096	48%	0	0	0	0	0.05	0	0.50	180	0:01.17
Makefile.1379012220.4613		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3-5.pairwise -d 120916 -c 3 -x 5 -s 120916 -l 120916.int.bed"	0	0	53	0	38328	29488	0	14194	4096	44%	0	0	0	0	0.06	0	0.67	201	0:01.66
Makefile.1379012222.10955		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3-6.pairwise -d 120916 -c 3 -x 6 -s 120916 -l 120916.int.bed"	0	0	53	0	38328	29504	0	14186	4096	34%	0	0	0	0	0.06	0	0.69	227	0:02.15
Makefile.1379012224.26380		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3-7.pairwise -d 120916 -c 3 -x 7 -s 120916 -l 120916.int.bed"	0	0	41	0	38328	29472	0	14199	4096	37%	0	0	0	0	0.07	0	0.63	220	0:01.90
Makefile.1379012226.31611		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3-8.pairwise -d 120916 -c 3 -x 8 -s 120916 -l 120916.int.bed"	0	0	37	0	38328	29504	0	14197	4096	42%	0	0	0	0	0.04	0	0.58	151	0:01.49
Makefile.1379012227.14997		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3-9.pairwise -d 120916 -c 3 -x 9 -s 120916 -l 120916.int.bed"	0	0	55	0	38328	29472	0	14179	4096	35%	0	0	0	0	0.06	0	0.60	177	0:01.90
Makefile.1379012229.1438		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3-10.pairwise -d 120916 -c 3 -x 10 -s 120916 -l 120916.int.bed"	0	0	37	0	38328	29504	0	14207	4096	32%	0	0	0	0	0.10	0	0.49	228	0:01.83
Makefile.1379012231.8472		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3-11.pairwise -d 120916 -c 3 -x 11 -s 120916 -l 120916.int.bed"	0	0	34	0	38328	29488	0	14191	4096	37%	0	0	0	0	0.06	0	0.69	179	0:01.99
Makefile.1379012233.10928		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3-12.pairwise -d 120916 -c 3 -x 12 -s 120916 -l 120916.int.bed"	0	0	34	0	38328	29488	0	14196	4096	32%	0	0	0	0	0.04	0	0.44	263	0:01.48
Makefile.1379012235.10755		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3-13.pairwise -d 120916 -c 3 -x 13 -s 120916 -l 120916.int.bed"	0	0	37	0	38328	29488	0	14200	4096	36%	0	0	0	0	0.06	0	0.73	195	0:02.16
Makefile.1379012237.317		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3-14.pairwise -d 120916 -c 3 -x 14 -s 120916 -l 120916.int.bed"	0	0	51	0	38328	29472	0	14198	4096	46%	0	0	0	0	0.07	0	0.66	201	0:01.61
Makefile.1379012239.4346		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3-15.pairwise -d 120916 -c 3 -x 15 -s 120916 -l 120916.int.bed"	0	0	37	0	38328	29488	0	14192	4096	38%	0	0	0	0	0.06	0	0.77	186	0:02.18
Makefile.1379012241.1254		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3-16.pairwise -d 120916 -c 3 -x 16 -s 120916 -l 120916.int.bed"	0	0	54	0	38328	29472	0	14189	4096	42%	0	0	0	0	0.06	0	0.78	220	0:01.97
Makefile.1379012243.27243		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3-17.pairwise -d 120916 -c 3 -x 17 -s 120916 -l 120916.int.bed"	0	0	39	0	38328	29488	0	14195	4096	23%	0	0	0	0	0.07	0	0.55	190	0:02.68
Makefile.1379012246.14516		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3-18.pairwise -d 120916 -c 3 -x 18 -s 120916 -l 120916.int.bed"	0	0	37	0	38328	29488	0	14184	4096	31%	0	0	0	0	0.08	0	0.78	223	0:02.77
Makefile.1379012248.26673		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3-19.pairwise -d 120916 -c 3 -x 19 -s 120916 -l 120916.int.bed"	0	0	38	0	38328	29488	0	14195	4096	44%	0	0	0	0	0.07	0	0.74	170	0:01.82
Makefile.1379012250.19499		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3-20.pairwise -d 120916 -c 3 -x 20 -s 120916 -l 120916.int.bed"	0	0	50	0	38328	29488	0	14197	4096	37%	0	0	0	0	0.06	0	0.68	178	0:01.99
Makefile.1379012252.3401		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3-21.pairwise -d 120916 -c 3 -x 21 -s 120916 -l 120916.int.bed"	0	0	36	0	38328	29488	0	14202	4096	49%	0	0	0	0	0.04	0	0.78	250	0:01.67
Makefile.1379012254.30302		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr3-22.pairwise -d 120916 -c 3 -x 22 -s 120916 -l 120916.int.bed"	0	0	33	0	38328	29488	0	14191	4096	29%	0	0	0	0	0.06	0	0.68	195	0:02.51
Makefile.1379012257.26849		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4-1.pairwise -d 120916 -c 4 -x 1 -s 120916 -l 120916.int.bed"	0	0	38	0	38328	29488	0	14189	4096	37%	0	0	0	0	0.08	0	0.75	184	0:02.21
Makefile.1379012259.25891		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4-2.pairwise -d 120916 -c 4 -x 2 -s 120916 -l 120916.int.bed"	0	0	53	0	38328	29488	0	14201	4096	38%	0	0	0	0	0.07	0	0.68	179	0:01.95
Makefile.1379012261.22916		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4-3.pairwise -d 120916 -c 4 -x 3 -s 120916 -l 120916.int.bed"	0	0	50	0	38328	29488	0	14187	4096	39%	0	0	0	0	0.06	0	0.75	180	0:02.05
Makefile.1379012263.13790		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4-4.pairwise -d 120916 -c 4 -x 4 -s 120916 -l 120916.int.bed"	0	0	51	0	38328	29488	0	14182	4096	35%	0	0	0	0	0.06	0	0.76	200	0:02.31
Makefile.1379012265.1964		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4-5.pairwise -d 120916 -c 4 -x 5 -s 120916 -l 120916.int.bed"	0	0	50	0	38328	29472	0	14188	4096	40%	0	0	0	0	0.08	0	0.75	180	0:02.06
Makefile.1379012267.32061		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4-6.pairwise -d 120916 -c 4 -x 6 -s 120916 -l 120916.int.bed"	0	0	33	0	38328	29504	0	14192	4096	37%	0	0	0	0	0.06	0	0.77	183	0:02.24
Makefile.1379012270.24617		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4-7.pairwise -d 120916 -c 4 -x 7 -s 120916 -l 120916.int.bed"	0	0	38	0	38328	29472	0	14187	4096	39%	0	0	0	0	0.07	0	0.76	176	0:02.12
Makefile.1379012272.13162		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4-8.pairwise -d 120916 -c 4 -x 8 -s 120916 -l 120916.int.bed"	0	0	38	0	38328	29488	0	14203	4096	35%	0	0	0	0	0.08	0	0.72	207	0:02.30
Makefile.1379012274.3774		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4-9.pairwise -d 120916 -c 4 -x 9 -s 120916 -l 120916.int.bed"	0	0	35	0	38328	29488	0	14194	4096	31%	0	0	0	0	0.07	0	0.67	204	0:02.40
Makefile.1379012277.14486		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4-10.pairwise -d 120916 -c 4 -x 10 -s 120916 -l 120916.int.bed"	0	0	39	0	38328	29488	0	14199	4096	43%	0	0	0	0	0.06	0	0.77	232	0:01.92
Makefile.1379012279.32603		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4-11.pairwise -d 120916 -c 4 -x 11 -s 120916 -l 120916.int.bed"	0	0	48	0	38328	29488	0	14197	4096	38%	0	0	0	0	0.08	0	0.75	201	0:02.18
Makefile.1379012281.11177		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4-12.pairwise -d 120916 -c 4 -x 12 -s 120916 -l 120916.int.bed"	0	0	36	0	38328	29488	0	14177	4096	38%	0	0	0	0	0.06	0	0.69	175	0:01.97
Makefile.1379012283.28418		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4-13.pairwise -d 120916 -c 4 -x 13 -s 120916 -l 120916.int.bed"	0	0	38	0	38328	29488	0	14191	4096	36%	0	0	0	0	0.07	0	0.76	190	0:02.32
Makefile.1379012285.16374		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4-14.pairwise -d 120916 -c 4 -x 14 -s 120916 -l 120916.int.bed"	0	0	50	0	38328	29504	0	14210	4096	38%	0	0	0	0	0.09	0	0.77	201	0:02.24
Makefile.1379012288.16978		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4-15.pairwise -d 120916 -c 4 -x 15 -s 120916 -l 120916.int.bed"	0	0	34	0	38328	29488	0	14178	4096	32%	0	0	0	0	0.06	0	0.69	165	0:02.33
Makefile.1379012290.28183		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4-16.pairwise -d 120916 -c 4 -x 16 -s 120916 -l 120916.int.bed"	0	0	50	0	38328	29488	0	14195	4096	38%	0	0	0	0	0.07	0	0.68	188	0:01.97
Makefile.1379012292.124		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4-17.pairwise -d 120916 -c 4 -x 17 -s 120916 -l 120916.int.bed"	0	0	52	0	38328	29504	0	14186	4096	36%	0	0	0	0	0.08	0	0.75	184	0:02.31
Makefile.1379012294.32395		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4-18.pairwise -d 120916 -c 4 -x 18 -s 120916 -l 120916.int.bed"	0	0	37	0	38328	29472	0	14185	4096	33%	0	0	0	0	0.06	0	0.69	203	0:02.28
Makefile.1379012297.29344		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4-19.pairwise -d 120916 -c 4 -x 19 -s 120916 -l 120916.int.bed"	0	0	32	0	38328	29472	0	14184	4096	46%	0	0	0	0	0.06	0	0.47	204	0:01.14
Makefile.1379012298.26016		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4-20.pairwise -d 120916 -c 4 -x 20 -s 120916 -l 120916.int.bed"	0	0	48	0	38328	29488	0	14197	4096	29%	0	0	0	0	0.06	0	0.78	228	0:02.83
Makefile.1379012301.15759		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4-21.pairwise -d 120916 -c 4 -x 21 -s 120916 -l 120916.int.bed"	0	0	38	0	38328	29488	0	14195	4096	39%	0	0	0	0	0.06	0	0.77	216	0:02.15
Makefile.1379012303.26219		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr4-22.pairwise -d 120916 -c 4 -x 22 -s 120916 -l 120916.int.bed"	0	0	40	0	38328	29488	0	14194	4096	36%	0	0	0	0	0.08	0	0.75	179	0:02.34
Makefile.1379012305.11445		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5-1.pairwise -d 120916 -c 5 -x 1 -s 120916 -l 120916.int.bed"	0	0	34	0	38328	29472	0	14199	4096	33%	0	0	0	0	0.08	0	0.73	193	0:02.45
Makefile.1379012308.7874		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5-2.pairwise -d 120916 -c 5 -x 2 -s 120916 -l 120916.int.bed"	0	0	40	0	38328	29488	0	14203	4096	37%	0	0	0	0	0.08	0	0.67	184	0:02.03
Makefile.1379012310.15002		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5-3.pairwise -d 120916 -c 5 -x 3 -s 120916 -l 120916.int.bed"	0	0	51	0	38328	29488	0	14191	4096	39%	0	0	0	0	0.08	0	0.74	185	0:02.12
Makefile.1379012312.13394		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5-4.pairwise -d 120916 -c 5 -x 4 -s 120916 -l 120916.int.bed"	0	0	50	0	38328	29488	0	14189	4096	36%	0	0	0	0	0.08	0	0.71	182	0:02.18
Makefile.1379012314.22758		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5-5.pairwise -d 120916 -c 5 -x 5 -s 120916 -l 120916.int.bed"	0	0	50	0	38328	29504	0	14201	4096	32%	0	0	0	0	0.06	0	0.69	194	0:02.33
Makefile.1379012317.12733		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5-6.pairwise -d 120916 -c 5 -x 6 -s 120916 -l 120916.int.bed"	0	0	36	0	38328	29488	0	14196	4096	35%	0	0	0	0	0.05	0	0.66	227	0:02.04
Makefile.1379012319.28801		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5-7.pairwise -d 120916 -c 5 -x 7 -s 120916 -l 120916.int.bed"	0	0	54	0	38328	29488	0	14196	4096	33%	0	0	0	0	0.07	0	0.76	186	0:02.46
Makefile.1379012321.19479		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5-8.pairwise -d 120916 -c 5 -x 8 -s 120916 -l 120916.int.bed"	0	0	53	0	38328	29504	0	14189	4096	36%	0	0	0	0	0.06	0	0.68	181	0:02.05
Makefile.1379012323.29597		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5-9.pairwise -d 120916 -c 5 -x 9 -s 120916 -l 120916.int.bed"	0	0	33	0	38328	29488	0	14186	4096	34%	0	0	0	0	0.07	0	0.75	185	0:02.38
Makefile.1379012326.2942		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5-10.pairwise -d 120916 -c 5 -x 10 -s 120916 -l 120916.int.bed"	0	0	50	0	38328	29488	0	14199	4096	38%	0	0	0	0	0.07	0	0.75	183	0:02.14
Makefile.1379012328.9438		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5-11.pairwise -d 120916 -c 5 -x 11 -s 120916 -l 120916.int.bed"	0	0	52	0	38328	29472	0	14195	4096	36%	0	0	0	0	0.07	0	0.77	180	0:02.29
Makefile.1379012330.9486		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5-12.pairwise -d 120916 -c 5 -x 12 -s 120916 -l 120916.int.bed"	0	0	51	0	38328	29488	0	14191	4096	34%	0	0	0	0	0.05	0	0.71	182	0:02.20
Makefile.1379012333.12743		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5-13.pairwise -d 120916 -c 5 -x 13 -s 120916 -l 120916.int.bed"	0	0	34	0	38328	29488	0	14201	4096	37%	0	0	0	0	0.05	0	0.74	210	0:02.10
Makefile.1379012335.27614		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5-14.pairwise -d 120916 -c 5 -x 14 -s 120916 -l 120916.int.bed"	0	0	49	0	38328	29488	0	14197	4096	36%	0	0	0	0	0.06	0	0.77	187	0:02.30
Makefile.1379012337.21528		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5-15.pairwise -d 120916 -c 5 -x 15 -s 120916 -l 120916.int.bed"	0	0	35	0	38328	29488	0	14199	4096	36%	0	0	0	0	0.08	0	0.74	183	0:02.24
Makefile.1379012339.7670		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5-16.pairwise -d 120916 -c 5 -x 16 -s 120916 -l 120916.int.bed"	0	0	49	0	38328	29472	0	14188	4096	32%	0	0	0	0	0.06	0	0.67	231	0:02.31
Makefile.1379012342.16791		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5-17.pairwise -d 120916 -c 5 -x 17 -s 120916 -l 120916.int.bed"	0	0	35	0	38328	29488	0	14198	4096	25%	0	0	0	0	0.07	0	0.65	206	0:02.89
Makefile.1379012345.3495		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5-18.pairwise -d 120916 -c 5 -x 18 -s 120916 -l 120916.int.bed"	0	0	51	0	38328	29488	0	14193	4096	41%	0	0	0	0	0.07	0	0.66	214	0:01.79
Makefile.1379012346.2692		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5-19.pairwise -d 120916 -c 5 -x 19 -s 120916 -l 120916.int.bed"	0	0	38	0	38328	29488	0	14204	4096	31%	0	0	0	0	0.05	0	0.55	230	0:01.92
Makefile.1379012348.3636		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5-20.pairwise -d 120916 -c 5 -x 20 -s 120916 -l 120916.int.bed"	0	0	50	0	38328	29488	0	14195	4096	37%	0	0	0	0	0.06	0	0.69	221	0:02.02
Makefile.1379012350.4350		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5-21.pairwise -d 120916 -c 5 -x 21 -s 120916 -l 120916.int.bed"	0	0	34	0	38328	29488	0	14185	4096	28%	0	0	0	0	0.07	0	0.58	232	0:02.25
Makefile.1379012353.29135		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr5-22.pairwise -d 120916 -c 5 -x 22 -s 120916 -l 120916.int.bed"	0	0	38	0	38328	29488	0	14193	4096	40%	0	0	0	0	0.08	0	0.75	158	0:02.06
Makefile.1379012355.10382		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr6-1.pairwise -d 120916 -c 6 -x 1 -s 120916 -l 120916.int.bed"	0	0	52	0	38328	29488	0	14202	4096	37%	0	0	0	0	0.08	0	0.68	184	0:02.04
